,Depth (m),Number of Prod Wells,Number of Inj Wells,Flow Rate per Prod Well (kg/sec),Maximum Reservoir Temperature (deg.C),Surface Plant Cost ($M),Exploration Cost ($M),Drilling and completion cost ($MUSD),Wellfield maintenance costs ($MUSD/yr),Make-Up Water O&M Cost ($MUSD/year),Average Reservoir Heat Extraction (MWth),Average Heat Production (MWth),Average Electricity Production (MWe),Lifetime,Total capital costs ($MUSD/yr),Surface maintenance costs ($MUSD/yr),Average Production Temperature (degC)
0,2.2,1,1,50.0,400.0,4.27,3.52,6.07,0.14,0.03,8.92,2.83,0.23,30,15.36,0.24,103.7
1,2.2,1,2,50.0,400.0,4.86,3.52,9.1,0.17,0.03,8.92,2.83,0.11,30,20.49,0.24,103.7
2,2.2,1,3,50.0,400.0,5.43,3.52,12.13,0.21,0.03,8.92,2.83,-0.03,30,25.61,0.24,103.7
3,2.2,1,4,50.0,400.0,5.99,3.52,15.16,0.25,0.03,8.92,2.83,-0.17,30,30.71,0.24,103.7
4,2.2,1,5,50.0,400.0,6.54,3.52,18.2,0.28,0.03,8.92,2.83,-0.3,30,35.81,0.24,103.7
5,2.4,1,1,50.0,400.0,4.73,3.7,6.55,0.14,0.03,10.39,2.94,0.36,30,16.49,0.25,110.9
10,2.4,1,1,80.0,400.0,7.03,3.7,6.55,0.2,0.04,14.29,4.52,0.16,30,18.8,0.45,103.8
6,2.4,1,2,50.0,400.0,5.31,3.7,9.83,0.18,0.03,10.39,2.94,0.24,30,21.86,0.25,110.9
11,2.4,1,2,80.0,400.0,7.71,3.7,9.83,0.24,0.04,14.29,4.52,-0.21,30,24.26,0.45,103.8
7,2.4,1,3,50.0,400.0,5.88,3.7,13.11,0.22,0.03,10.39,2.94,0.11,30,27.22,0.25,110.9
12,2.4,1,3,80.0,400.0,8.36,3.7,13.11,0.28,0.04,14.29,4.52,-0.61,30,29.7,0.45,103.8
8,2.4,1,4,50.0,400.0,6.44,3.7,16.39,0.26,0.03,10.39,2.94,-0.01,30,32.56,0.25,110.9
13,2.4,1,4,80.0,400.0,9.31,3.7,16.39,0.32,0.04,14.29,4.52,-1.01,30,35.43,0.45,103.8
9,2.4,1,5,50.0,400.0,6.99,3.7,19.66,0.3,0.03,10.39,2.94,-0.14,30,37.9,0.25,110.9
14,2.4,1,5,80.0,400.0,9.97,3.7,19.66,0.36,0.04,14.29,4.52,-1.41,30,40.88,0.45,103.8
15,2.6,1,1,50.0,400.0,5.24,3.89,7.07,0.15,0.03,11.85,3.06,0.49,30,17.72,0.26,118.2
24,2.6,1,1,80.0,400.0,7.86,3.89,7.07,0.23,0.04,16.32,4.68,0.33,30,20.34,0.53,110.0
16,2.6,1,2,50.0,400.0,5.82,3.89,10.61,0.19,0.03,11.85,3.06,0.39,30,23.34,0.26,118.2
25,2.6,1,2,80.0,400.0,8.53,3.89,10.61,0.27,0.04,16.32,4.68,-0.03,30,26.06,0.53,110.0
17,2.6,1,3,50.0,400.0,6.38,3.89,14.15,0.23,0.03,11.85,3.06,0.27,30,28.95,0.26,118.2
26,2.6,1,3,80.0,400.0,9.18,3.89,14.15,0.31,0.04,16.32,4.68,-0.42,30,31.75,0.53,110.0
18,2.6,1,4,50.0,400.0,6.94,3.89,17.69,0.27,0.03,11.85,3.06,0.16,30,34.56,0.26,118.2
27,2.6,1,4,80.0,400.0,10.13,3.89,17.69,0.36,0.04,16.32,4.68,-0.81,30,37.75,0.53,110.0
19,2.6,1,5,50.0,400.0,7.49,3.89,21.22,0.31,0.03,11.85,3.06,0.04,30,40.15,0.26,118.2
28,2.6,1,5,80.0,400.0,10.79,3.89,21.22,0.4,0.04,16.32,4.68,-1.2,30,43.45,0.53,110.0
20,2.6,2,2,50.0,400.0,10.3,3.89,14.15,0.34,0.05,17.95,5.65,0.2,30,31.36,0.65,104.0
21,2.6,2,3,50.0,400.0,10.92,3.89,17.69,0.39,0.05,17.95,5.65,-0.08,30,37.02,0.65,104.0
22,2.6,2,4,50.0,400.0,11.52,3.89,21.22,0.43,0.05,17.95,5.65,-0.37,30,42.68,0.65,104.0
23,2.6,2,5,50.0,400.0,12.42,3.89,24.76,0.47,0.05,17.95,5.65,-0.65,30,48.62,0.65,104.0
29,2.8,1,1,50.0,400.0,5.82,4.09,7.63,0.17,0.03,13.31,3.17,0.66,30,19.05,0.32,125.4
38,2.8,1,1,80.0,400.0,8.79,4.09,7.63,0.25,0.04,18.33,4.83,0.51,30,22.03,0.6,116.3
30,2.8,1,2,50.0,400.0,6.39,4.09,11.44,0.22,0.03,13.31,3.17,0.56,30,24.94,0.32,125.4
39,2.8,1,2,80.0,400.0,9.46,4.09,11.44,0.3,0.04,18.33,4.83,0.17,30,28.02,0.6,116.3
31,2.8,1,3,50.0,400.0,6.95,4.09,15.25,0.26,0.03,13.31,3.17,0.46,30,30.83,0.32,125.4
40,2.8,1,3,80.0,400.0,10.11,4.09,15.25,0.34,0.04,18.33,4.83,-0.2,30,33.99,0.6,116.3
32,2.8,1,4,50.0,400.0,7.5,4.09,19.07,0.3,0.03,13.31,3.17,0.36,30,36.7,0.32,125.4
41,2.8,1,4,80.0,400.0,11.05,4.09,19.07,0.39,0.04,18.33,4.83,-0.57,30,40.25,0.6,116.3
33,2.8,1,5,50.0,400.0,8.04,4.09,22.88,0.35,0.03,13.31,3.17,0.25,30,42.57,0.32,125.4
42,2.8,1,5,80.0,400.0,11.71,4.09,22.88,0.43,0.04,18.33,4.83,-0.95,30,46.23,0.6,116.3
34,2.8,2,2,50.0,400.0,11.4,4.09,15.25,0.37,0.05,20.18,5.82,0.39,30,33.77,0.72,109.6
35,2.8,2,3,50.0,400.0,12.02,4.09,19.07,0.42,0.05,20.18,5.82,0.12,30,39.71,0.72,109.6
36,2.8,2,4,50.0,400.0,12.62,4.09,22.88,0.46,0.05,20.18,5.82,-0.15,30,45.64,0.72,109.6
37,2.8,2,5,50.0,400.0,13.51,4.09,26.7,0.51,0.05,20.18,5.82,-0.43,30,51.85,0.72,109.6
43,3.0,1,1,50.0,400.0,6.46,4.31,8.21,0.19,0.03,14.75,3.28,0.84,30,20.49,0.38,132.6
55,3.0,1,1,80.0,400.0,9.85,4.31,8.21,0.28,0.04,20.35,4.99,0.73,30,23.88,0.66,122.6
44,3.0,1,2,50.0,400.0,7.03,4.31,12.32,0.24,0.03,14.75,3.28,0.76,30,26.67,0.38,132.6
56,3.0,1,2,80.0,400.0,10.51,4.31,12.32,0.32,0.04,20.35,4.99,0.4,30,30.16,0.66,122.6
45,3.0,1,3,50.0,400.0,7.58,4.31,16.42,0.29,0.03,14.75,3.28,0.67,30,32.84,0.38,132.6
57,3.0,1,3,80.0,400.0,11.15,4.31,16.42,0.37,0.04,20.35,4.99,0.05,30,36.41,0.66,122.6
46,3.0,1,4,50.0,400.0,8.13,4.31,20.53,0.33,0.03,14.75,3.28,0.58,30,39.01,0.38,132.6
58,3.0,1,4,80.0,400.0,12.09,4.31,20.53,0.42,0.04,20.35,4.99,-0.31,30,42.96,0.66,122.6
