,Depth (m),Number of Prod Wells,Number of Inj Wells,Maximum Reservoir Temperature (deg.C),Surface Plant Cost ($M),Surface maintenance costs ($MUSD/yr),Exploration Cost ($M),Drilling and completion cost ($MUSD),Wellfield maintenance costs ($MUSD/yr),Make-Up Water O&M Cost ($MUSD/year),Average Reservoir Heat Extraction (MWth),Average Heat Production (MWth),Average Electricity Production (MWe),Lifetime
0,2.5,1,1,400.0,25.32,1.03,4.46,8.61,0.32,0.04,31.76,1.43,3.97,35
1,2.5,1,2,400.0,25.68,1.03,4.46,12.92,0.37,0.04,31.76,1.43,4.06,35
2,2.5,1,3,400.0,26.1,1.03,4.46,17.23,0.42,0.04,31.76,1.43,4.07,35
3,2.5,1,4,400.0,26.58,1.03,4.46,21.53,0.46,0.04,31.76,1.43,4.07,35
4,2.5,2,2,400.0,42.09,1.61,4.46,17.23,0.53,0.07,63.51,2.87,7.93,35
5,2.5,2,3,400.0,42.45,1.61,4.46,21.53,0.58,0.07,63.51,2.87,8.06,35
6,2.5,2,4,400.0,42.86,1.61,4.46,25.84,0.62,0.07,63.51,2.87,8.11,35
7,2.5,3,3,400.0,56.89,2.01,4.46,25.84,0.69,0.11,95.27,4.3,11.9,35
8,2.5,3,4,400.0,57.26,2.01,4.46,30.15,0.74,0.11,95.27,4.3,12.04,35
9,2.5,4,4,400.0,70.56,2.34,4.46,34.45,0.84,0.15,127.02,5.73,15.86,35
10,2.6,1,1,400.0,26.15,1.08,4.62,9.06,0.34,0.04,33.78,1.84,4.34,35
11,2.6,1,2,400.0,26.49,1.08,4.62,13.59,0.38,0.04,33.78,1.84,4.43,35
12,2.6,1,3,400.0,26.93,1.08,4.62,18.12,0.43,0.04,33.78,1.84,4.44,35
13,2.6,1,4,400.0,27.41,1.08,4.62,22.65,0.48,0.04,33.78,1.84,4.44,35
14,2.6,2,2,400.0,43.48,1.66,4.62,18.12,0.55,0.07,67.56,3.68,8.67,35
15,2.6,2,3,400.0,43.84,1.66,4.62,22.65,0.6,0.07,67.56,3.68,8.8,35
16,2.6,2,4,400.0,44.24,1.66,4.62,27.18,0.65,0.07,67.56,3.68,8.86,35
17,2.6,3,3,400.0,58.84,2.07,4.62,27.18,0.72,0.11,101.35,5.52,13.01,35
18,2.6,3,4,400.0,59.21,2.07,4.62,31.71,0.77,0.11,101.35,5.52,13.15,35
19,2.6,4,4,400.0,73.0,2.41,4.62,36.24,0.86,0.15,135.13,7.36,17.35,35
20,2.7,1,1,400.0,26.94,1.12,4.79,9.52,0.35,0.04,35.81,2.23,4.73,35
21,2.7,1,2,400.0,27.26,1.12,4.79,14.28,0.4,0.04,35.81,2.23,4.82,35
22,2.7,1,3,400.0,27.73,1.12,4.79,19.04,0.45,0.04,35.81,2.23,4.82,35
